level,key,policy,patients,foreground_dice,gain_macro_fg,weighting
seed_domain,1:Drishti_GS,frozen_Ridge_hard,10,0.8589493048537655,-0.045946091377429464,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,1:Drishti_GS,frozen_SHOR,10,0.8589493048537655,-0.045946091377429464,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,1:Drishti_GS,frozen_PPC_C6,10,0.8589493048537655,-0.045946091377429464,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,1:Drishti_GS,O_CAP_lambda050,10,0.9048953962311949,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,1:Drishti_GS,O_CAP_lambda075,10,0.9048953962311949,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,1:Drishti_GS,O_CAP_envelope,10,0.9048953962311949,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,1:Drishti_GS,O_SAFE0_lambda050,10,0.9048953962311949,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,1:Drishti_GS,O_SAFE0_lambda075,10,0.9048953962311949,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,1:Drishti_GS,O_SAFE0_envelope,10,0.9048953962311949,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,1:Drishti_GS,O_NO_AREA_lambda050,10,0.9048953962311949,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,1:Drishti_GS,O_NO_AREA_lambda075,10,0.9048953962311949,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
