candidate,seed,stage_index,point_kind,class_id,requested_coverage,achieved_coverage,reason,predicted_retained_fraction,true_retained_fraction,true_class_recall,predicted_composition,true_composition,predicted_full_mass,true_full_mass
R3,0,0,registered,2,0.05,0.0500000678163697,,0.0,2.96474494722754e-05,0.0,0.0,1.8988689522719332e-05,0.07567091200086797,0.03202419704861111
R3,0,0,registered,0,0.1,0.10000000000161557,,0.12047121386444848,0.11311281434290853,0.11311204369628361,0.9999674479166667,0.995391845703125,0.8300467936197674,0.8799991861978903
R3,0,0,registered,1,0.1,0.10000000000161557,,7.912251690164854e-06,0.005164699969474312,7.708507417125838e-07,7.459852430555551e-06,0.004543728298611108,0.0942822943793403,0.08797661675347221
R3,0,0,registered,2,0.1,0.10000000000161557,,3.315967818980425e-05,0.00020117912141901154,7.835397360529927e-05,2.5092230902777763e-05,6.442599826388882e-05,0.07567091200086797,0.03202419704861111
R3,0,0,registered,0,0.2,0.20000000000834584,,0.24078719311138186,0.22568848798824687,0.22564540884191372,0.9993231879340277,0.9930284288194444,0.8300467936197674,0.8799991861978903
R3,0,0,registered,1,0.2,0.20000000000834584,,0.0005581733919607206,0.014717853211518363,0.00014877419315052867,0.00026312934027777684,0.006474134657118033,0.0942822943793403,0.08797661675347221
R3,0,0,registered,2,0.2,0.20000000000834584,,0.0010933731727448969,0.003106629169702001,0.0025729750792010436,0.00041368272569444303,0.0004974365234374983,0.07567091200086797,0.03202419704861111
R3,0,0,registered,0,0.3,0.3000000678114527,,0.36025657177583925,0.3374801057573866,0.3370852264267764,0.9967658156182602,0.9899405042994742,0.8300467936197674,0.8799991861978903
R3,0,0,registered,1,0.3,0.3000000678114527,,0.005043700804675996,0.028173823758853224,0.0012657369178920626,0.0015851052551031659,0.008262123783337936,0.0942822943793403,0.08797661675347221
R3,0,0,registered,2,0.3,0.3000000678114527,,0.006537833848503297,0.01683763362529012,0.015257848103410306,0.0016490791266368504,0.0017973719171884299,0.07567091200086797,0.03202419704861111
R3,0,0,registered,0,0.4,0.4000000677772557,,0.47722708161044086,0.4475225868819373,0.4458418836576443,0.9903018544003207,0.9845486137307722,0.8300467936197674,0.8799991861978903
R3,0,0,registered,1,0.4,0.4000000677772557,,0.021675253857402516,0.048410197430291985,0.0055192913106621,0.0051089807961391225,0.010647411660527415,0.0942822943793403,0.08797661675347221
R3,0,0,registered,2,0.4,0.4000000677772557,,0.024258545114638413,0.0600043200569231,0.05543649516323038,0.004589164803540644,0.004803974608701203,0.07567091200086797,0.03202419704861111
R3,0,0,registered,0,0.5,0.5000000677430587,,0.5887180545540258,0.5542400360785984,0.5491370453223505,0.977326934498843,0.9754614291095074,0.8300467936197674,0.8799991861978903
R3,0,0,registered,1,0.5,0.5000000677430587,,0.06933362296969822,0.0862682190572804,0.019486335899752405,0.013073864329174479,0.015179170033207493,0.0942822943793403,0.08797661675347221
R3,0,0,registered,2,0.5,0.5000000677430587,,0.06342729471694637,0.14613016077388313,0.1311264336659495,0.009599201171983538,0.00935940085728631,0.07567091200086797,0.03202419704861111
R0,0,1,matched_global,0,0.35607961018413814,0.35607961018413814,,0.40059197646437705,0.3947649589789169,0.39476175044678824,0.9999861920739648,0.9958904755306887,0.8888712565104139,0.8982972886827228
R0,0,1,matched_global,1,0.35607961018413814,0.35607961018413814,,5.467008705160018e-05,0.01884630200308166,1.4445300462249614e-05,1.2379519893650438e-05,0.0037271877587498306,0.08063083224826385,0.07042100694444445
R0,0,1,matched_global,2,0.35607961018413814,0.35607961018413814,,1.6677414333681713e-05,0.004352138401253072,0.0,1.4284061415750503e-06,0.0003823367105615885,0.030497911241319432,0.031281704372829844
R0,0,1,registered,0,0.05,0.050000169541890765,,0.05625130655973114,0.055562717083150054,0.055562717083150054,1.0,0.9982333773011024,0.8888712565104139,0.8982972886827228
